arch,regularizer,sigma,acc_mean,acc_sem,n_seeds
cnn2_c2_c4,weight_decay,0.00,83.866000,0.625377,5
cnn2_c2_c4,weight_decay,0.05,83.844000,0.606833,5
cnn2_c2_c4,weight_decay,0.10,83.758000,0.619293,5
cnn2_c2_c4,weight_decay,0.15,83.426000,0.583323,5
cnn2_c2_c4,weight_decay,0.20,83.240000,0.604252,5
cnn2_c2_c4,weight_decay,0.25,83.162000,0.580184,5
cnn2_c2_c4,weight_decay,0.30,82.968000,0.567903,5
cnn2_c2_c4,weight_decay,0.35,82.754000,0.484754,5
cnn2_c2_c4,weight_decay,0.40,82.584000,0.447600,5
cnn2_c2_c4,weight_decay,0.45,82.244000,0.525886,5
cnn2_c2_c4,weight_decay,0.50,82.026000,0.486709,5
cnn2_c2_c4,weight_decay,0.55,81.610000,0.528971,5
cnn2_c2_c4,weight_decay,0.60,81.302000,0.471237,5
cnn2_c2_c4,weight_decay,0.65,81.004000,0.588359,5
cnn2_c2_c4,weight_decay,0.70,80.632000,0.493127,5
cnn2_c2_c4,weight_decay,0.75,80.320000,0.591253,5
cnn2_c2_c4,weight_decay,0.80,80.250000,0.528668,5
cnn2_c2_c4,weight_decay,0.85,79.738000,0.604644,5
cnn2_c2_c4,weight_decay,0.90,79.368000,0.499974,5
cnn2_c2_c4,weight_decay,0.95,79.134000,0.653457,5
cnn2_c2_c4,weight_decay,1.00,78.616000,0.713615,5
cnn2_c2_c4,mne_l2,0.00,76.780000,1.095760,5
cnn2_c2_c4,mne_l2,0.05,76.742000,1.080247,5
cnn2_c2_c4,mne_l2,0.10,76.840000,1.117775,5
cnn2_c2_c4,mne_l2,0.15,76.714000,1.130414,5
cnn2_c2_c4,mne_l2,0.20,76.800000,0.988883,5
cnn2_c2_c4,mne_l2,0.25,76.818000,1.110056,5
cnn2_c2_c4,mne_l2,0.30,76.610000,1.170269,5
cnn2_c2_c4,mne_l2,0.35,76.846000,1.224674,5
cnn2_c2_c4,mne_l2,0.40,76.614000,1.117974,5
cnn2_c2_c4,mne_l2,0.45,76.652000,1.158242,5
cnn2_c2_c4,mne_l2,0.50,76.462000,1.154424,5
cnn2_c2_c4,mne_l2,0.55,76.666000,1.184114,5
cnn2_c2_c4,mne_l2,0.60,76.546000,1.255319,5
cnn2_c2_c4,mne_l2,0.65,76.546000,1.178731,5
cnn2_c2_c4,mne_l2,0.70,76.552000,1.204572,5
cnn2_c2_c4,mne_l2,0.75,76.468000,1.214514,5
cnn2_c2_c4,mne_l2,0.80,76.432000,1.330994,5
cnn2_c2_c4,mne_l2,0.85,76.330000,1.312658,5
cnn2_c2_c4,mne_l2,0.90,76.412000,1.211109,5
cnn2_c2_c4,mne_l2,0.95,76.558000,1.380921,5
cnn2_c2_c4,mne_l2,1.00,76.306000,1.293165,5
cnn2_c2_c4,no_regularization,0.00,83.168000,0.417773,5
cnn2_c2_c4,no_regularization,0.05,83.148000,0.466963,5
cnn2_c2_c4,no_regularization,0.10,83.136000,0.429425,5
cnn2_c2_c4,no_regularization,0.15,83.016000,0.408847,5
cnn2_c2_c4,no_regularization,0.20,82.792000,0.383385,5
cnn2_c2_c4,no_regularization,0.25,82.542000,0.411660,5
cnn2_c2_c4,no_regularization,0.30,82.408000,0.373636,5
cnn2_c2_c4,no_regularization,0.35,82.276000,0.380442,5
cnn2_c2_c4,no_regularization,0.40,82.044000,0.380087,5
cnn2_c2_c4,no_regularization,0.45,81.754000,0.376969,5
cnn2_c2_c4,no_regularization,0.50,81.616000,0.390341,5
cnn2_c2_c4,no_regularization,0.55,81.212000,0.424964,5
cnn2_c2_c4,no_regularization,0.60,80.982000,0.530701,5
cnn2_c2_c4,no_regularization,0.65,80.860000,0.508252,5
cnn2_c2_c4,no_regularization,0.70,80.474000,0.574409,5
