arch,regularizer,sigma,acc_mean,acc_sem,n_seeds
fc3rev_h8,weight_decay,0.00,83.292000,0.176448,5
fc3rev_h8,weight_decay,0.05,83.238000,0.194355,5
fc3rev_h8,weight_decay,0.10,83.242000,0.140335,5
fc3rev_h8,weight_decay,0.15,83.040000,0.207678,5
fc3rev_h8,weight_decay,0.20,83.086000,0.248085,5
fc3rev_h8,weight_decay,0.25,82.968000,0.213035,5
fc3rev_h8,weight_decay,0.30,82.852000,0.204216,5
fc3rev_h8,weight_decay,0.35,82.798000,0.165179,5
fc3rev_h8,weight_decay,0.40,82.638000,0.194561,5
fc3rev_h8,weight_decay,0.45,82.354000,0.167410,5
fc3rev_h8,weight_decay,0.50,82.336000,0.105290,5
fc3rev_h8,weight_decay,0.55,81.984000,0.177302,5
fc3rev_h8,weight_decay,0.60,81.880000,0.189974,5
fc3rev_h8,weight_decay,0.65,81.576000,0.232284,5
fc3rev_h8,weight_decay,0.70,81.312000,0.189668,5
fc3rev_h8,weight_decay,0.75,80.952000,0.135477,5
fc3rev_h8,weight_decay,0.80,80.646000,0.114743,5
fc3rev_h8,weight_decay,0.85,80.556000,0.177753,5
fc3rev_h8,weight_decay,0.90,80.130000,0.154790,5
fc3rev_h8,weight_decay,0.95,79.884000,0.209227,5
fc3rev_h8,weight_decay,1.00,79.432000,0.209079,5
fc3rev_h8,mne_l2,0.00,80.374000,0.429763,5
fc3rev_h8,mne_l2,0.05,80.336000,0.430449,5
fc3rev_h8,mne_l2,0.10,80.340000,0.431648,5
fc3rev_h8,mne_l2,0.15,80.266000,0.466997,5
fc3rev_h8,mne_l2,0.20,80.292000,0.403453,5
fc3rev_h8,mne_l2,0.25,80.206000,0.453989,5
fc3rev_h8,mne_l2,0.30,80.044000,0.437762,5
fc3rev_h8,mne_l2,0.35,79.926000,0.429798,5
fc3rev_h8,mne_l2,0.40,80.056000,0.454616,5
fc3rev_h8,mne_l2,0.45,80.042000,0.465246,5
fc3rev_h8,mne_l2,0.50,79.836000,0.394545,5
fc3rev_h8,mne_l2,0.55,79.870000,0.329742,5
fc3rev_h8,mne_l2,0.60,79.838000,0.465504,5
fc3rev_h8,mne_l2,0.65,79.716000,0.441934,5
fc3rev_h8,mne_l2,0.70,79.574000,0.452201,5
fc3rev_h8,mne_l2,0.75,79.380000,0.415102,5
fc3rev_h8,mne_l2,0.80,79.498000,0.434217,5
fc3rev_h8,mne_l2,0.85,79.336000,0.472500,5
fc3rev_h8,mne_l2,0.90,79.172000,0.325014,5
fc3rev_h8,mne_l2,0.95,79.020000,0.416149,5
fc3rev_h8,mne_l2,1.00,79.078000,0.357916,5
fc3rev_h8,no_regularization,0.00,82.980000,0.221630,5
fc3rev_h8,no_regularization,0.05,82.864000,0.256780,5
fc3rev_h8,no_regularization,0.10,82.754000,0.238151,5
fc3rev_h8,no_regularization,0.15,82.634000,0.249090,5
fc3rev_h8,no_regularization,0.20,82.634000,0.184840,5
fc3rev_h8,no_regularization,0.25,82.568000,0.217403,5
fc3rev_h8,no_regularization,0.30,82.348000,0.260699,5
fc3rev_h8,no_regularization,0.35,82.260000,0.248193,5
fc3rev_h8,no_regularization,0.40,82.016000,0.225047,5
fc3rev_h8,no_regularization,0.45,81.924000,0.204196,5
fc3rev_h8,no_regularization,0.50,81.786000,0.283718,5
fc3rev_h8,no_regularization,0.55,81.414000,0.203362,5
fc3rev_h8,no_regularization,0.60,81.456000,0.300875,5
fc3rev_h8,no_regularization,0.65,80.998000,0.337526,5
fc3rev_h8,no_regularization,0.70,81.016000,0.309509,5
fc3rev_h8,no_regularization,0.75,80.530000,0.246678,5
fc3rev_h8,no_regularization,0.80,80.442000,0.307399,5
fc3rev_h8,no_regularization,0.85,79.960000,0.256223,5
fc3rev_h8,no_regularization,0.90,79.514000,0.289458,5
fc3rev_h8,no_regularization,0.95,79.272000,0.373757,5
fc3rev_h8,no_regularization,1.00,78.676000,0.350180,5
fc3rev_h16,weight_decay,0.00,85.270000,0.022136,5
fc3rev_h16,weight_decay,0.05,85.214000,0.045011,5
fc3rev_h16,weight_decay,0.10,85.150000,0.058395,5
fc3rev_h16,weight_decay,0.15,85.200000,0.092141,5
fc3rev_h16,weight_decay,0.20,85.068000,0.056604,5
fc3rev_h16,weight_decay,0.25,84.868000,0.077356,5
fc3rev_h16,weight_decay,0.30,84.836000,0.076066,5
fc3rev_h16,weight_decay,0.35,84.722000,0.082304,5
fc3rev_h16,weight_decay,0.40,84.624000,0.081707,5
fc3rev_h16,weight_decay,0.45,84.606000,0.081584,5
fc3rev_h16,weight_decay,0.50,84.456000,0.097652,5
fc3rev_h16,weight_decay,0.55,84.092000,0.076184,5
fc3rev_h16,weight_decay,0.60,84.050000,0.066257,5
fc3rev_h16,weight_decay,0.65,83.742000,0.098458,5
fc3rev_h16,weight_decay,0.70,83.456000,0.202104,5
fc3rev_h16,weight_decay,0.75,83.302000,0.087772,5
fc3rev_h16,weight_decay,0.80,82.998000,0.075193,5
fc3rev_h16,weight_decay,0.85,82.804000,0.162622,5
fc3rev_h16,weight_decay,0.90,82.562000,0.103121,5
fc3rev_h16,weight_decay,0.95,82.400000,0.169027,5
fc3rev_h16,weight_decay,1.00,81.832000,0.213691,5
fc3rev_h16,mne_l2,0.00,83.184000,0.174803,5
fc3rev_h16,mne_l2,0.05,83.052000,0.180150,5
fc3rev_h16,mne_l2,0.10,83.036000,0.177640,5
fc3rev_h16,mne_l2,0.15,83.046000,0.143339,5
fc3rev_h16,mne_l2,0.20,82.922000,0.118760,5
fc3rev_h16,mne_l2,0.25,82.962000,0.152493,5
fc3rev_h16,mne_l2,0.30,82.948000,0.151572,5
fc3rev_h16,mne_l2,0.35,82.884000,0.172905,5
fc3rev_h16,mne_l2,0.40,82.776000,0.115698,5
fc3rev_h16,mne_l2,0.45,82.858000,0.144720,5
fc3rev_h16,mne_l2,0.50,82.794000,0.133139,5
fc3rev_h16,mne_l2,0.55,82.514000,0.056000,5
fc3rev_h16,mne_l2,0.60,82.614000,0.112987,5
fc3rev_h16,mne_l2,0.65,82.314000,0.149753,5
fc3rev_h16,mne_l2,0.70,82.226000,0.172905,5
fc3rev_h16,mne_l2,0.75,82.164000,0.188112,5
fc3rev_h16,mne_l2,0.80,82.182000,0.127805,5
fc3rev_h16,mne_l2,0.85,81.950000,0.085029,5
fc3rev_h16,mne_l2,0.90,81.838000,0.141400,5
fc3rev_h16,mne_l2,0.95,81.918000,0.128351,5
fc3rev_h16,mne_l2,1.00,81.762000,0.157143,5
fc3rev_h16,no_regularization,0.00,84.738000,0.120971,5
fc3rev_h16,no_regularization,0.05,84.606000,0.114743,5
fc3rev_h16,no_regularization,0.10,84.640000,0.084558,5
fc3rev_h16,no_regularization,0.15,84.640000,0.123814,5
fc3rev_h16,no_regularization,0.20,84.344000,0.143618,5
fc3rev_h16,no_regularization,0.25,84.352000,0.069527,5
fc3rev_h16,no_regularization,0.30,84.394000,0.100030,5
fc3rev_h16,no_regularization,0.35,84.254000,0.154486,5
fc3rev_h16,no_regularization,0.40,84.036000,0.173597,5
fc3rev_h16,no_regularization,0.45,83.888000,0.173591,5
fc3rev_h16,no_regularization,0.50,83.688000,0.109973,5
fc3rev_h16,no_regularization,0.55,83.516000,0.141725,5
fc3rev_h16,no_regularization,0.60,83.442000,0.134142,5
fc3rev_h16,no_regularization,0.65,82.842000,0.213340,5
fc3rev_h16,no_regularization,0.70,82.758000,0.108231,5
fc3rev_h16,no_regularization,0.75,82.730000,0.063953,5
fc3rev_h16,no_regularization,0.80,82.442000,0.098965,5
fc3rev_h16,no_regularization,0.85,82.050000,0.099599,5
fc3rev_h16,no_regularization,0.90,81.932000,0.143122,5
fc3rev_h16,no_regularization,0.95,81.602000,0.093027,5
fc3rev_h16,no_regularization,1.00,81.172000,0.209652,5
fc3rev_h32,weight_decay,0.00,86.466000,0.082438,5
fc3rev_h32,weight_decay,0.05,86.288000,0.076642,5
fc3rev_h32,weight_decay,0.10,86.204000,0.069685,5
fc3rev_h32,weight_decay,0.15,86.202000,0.047476,5
fc3rev_h32,weight_decay,0.20,86.244000,0.111337,5
fc3rev_h32,weight_decay,0.25,86.042000,0.077292,5
fc3rev_h32,weight_decay,0.30,86.008000,0.078320,5
fc3rev_h32,weight_decay,0.35,86.042000,0.166235,5
fc3rev_h32,weight_decay,0.40,85.952000,0.047476,5
fc3rev_h32,weight_decay,0.45,85.718000,0.119599,5
fc3rev_h32,weight_decay,0.50,85.692000,0.093456,5
fc3rev_h32,weight_decay,0.55,85.408000,0.126071,5
fc3rev_h32,weight_decay,0.60,85.238000,0.054351,5
fc3rev_h32,weight_decay,0.65,85.164000,0.057324,5
fc3rev_h32,weight_decay,0.70,84.780000,0.030822,5
fc3rev_h32,weight_decay,0.75,84.644000,0.106705,5
fc3rev_h32,weight_decay,0.80,84.374000,0.128787,5
fc3rev_h32,weight_decay,0.85,83.930000,0.054589,5
fc3rev_h32,weight_decay,0.90,83.820000,0.127945,5
fc3rev_h32,weight_decay,0.95,83.676000,0.148176,5
fc3rev_h32,weight_decay,1.00,83.206000,0.072429,5
fc3rev_h32,mne_l2,0.00,84.748000,0.063984,5
fc3rev_h32,mne_l2,0.05,84.664000,0.074068,5
fc3rev_h32,mne_l2,0.10,84.512000,0.110200,5
fc3rev_h32,mne_l2,0.15,84.620000,0.078867,5
fc3rev_h32,mne_l2,0.20,84.514000,0.111562,5
fc3rev_h32,mne_l2,0.25,84.494000,0.085123,5
fc3rev_h32,mne_l2,0.30,84.528000,0.118254,5
fc3rev_h32,mne_l2,0.35,84.358000,0.134216,5
fc3rev_h32,mne_l2,0.40,84.296000,0.101814,5
fc3rev_h32,mne_l2,0.45,84.334000,0.086925,5
