arch,scale_label,regularizer,acc_mean,acc_sem,acc_std,n_seeds
cnn2_c2_c4,c2→c4,weight_decay,28.954,2.7588686086872634,6.169017750014988,5
cnn2_c2_c4,c2→c4,mne_l2,69.1,1.740606216236171,3.892113821562777,5
cnn2_c2_c4,c2→c4,no_regularization,37.462,3.70331662162446,8.28086770815716,5
cnn2_c4_c8,c4→c8,weight_decay,31.246,3.2456872923927844,7.257577419497502,5
cnn2_c4_c8,c4→c8,mne_l2,66.008,2.203391476792085,4.926933123150752,5
cnn2_c4_c8,c4→c8,no_regularization,41.558,3.5879233548112484,8.022840519417048,5
cnn2_c8_c16,c8→c16,weight_decay,31.63,1.3410145413081838,2.9985996731807987,5
cnn2_c8_c16,c8→c16,mne_l2,64.064,2.348294274574634,5.2509456291224375,5
cnn2_c8_c16,c8→c16,no_regularization,38.18,2.729578722074159,6.103523572494826,5
cnn2_c16_c32,c16→c32,weight_decay,31.338,3.5999769443706167,8.049793165044678,5
cnn2_c16_c32,c16→c32,mne_l2,64.16,1.7348429323716883,3.8792267270681657,5
cnn2_c16_c32,c16→c32,no_regularization,32.572,3.194780743650493,7.143746916009832,5
